crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,const
526.3652599,0,2,12,43,98,55,3,23,10639,1
525.2143487,18,154,527,724,1533,5404,288,56,270937,1
525.1086432,0,17,1,69,40,519,36,11,16568,1
524.1693111999999,24,56,292,439,2395,6307,683,211,154721,1
522.4662747,25,150,612,1536,4205,12733,1372,46,444622,1
522.2281735,11,8,97,118,1029,1800,167,12,44808,1
522.1046922,1,17,9,204,366,865,76,2,44244,1
521.2349405,99,489,3719,2277,12781,21517,4681,367,1263154,1
520.7652823,0,10,26,243,351,1564,102,3,53575,1
519.0092409,3,4,32,84,425,619,40,6,23699,1
517.7585449,0,18,37,216,483,1426,136,13,52341,1
516.8284382,2,5,7,27,80,144,5,1,7933,1
516.0390268,30,89,849,1932,2309,9745,602,59,561973,1
515.8306652,2,5,2,49,70,226,7,0,11244,1
515.5994096,0,7,21,227,367,812,49,9,49457,1
515.394913,6,186,692,1965,3653,8599,876,105,552780,1
514.3580518,5,32,17,332,662,1456,157,13,75045,1
513.8024266,2,45,126,361,1241,2674,294,42,103931,1
513.2659507000001,3,25,11,156,292,740,77,0,37992,1
512.1085513,3,33,66,289,638,2549,144,6,76351,1
512.0126034,2,15,4,83,166,351,25,1,20312,1
511.8566801,0,5,12,111,216,496,25,13,25007,1
511.7270789,0,10,1,25,17,289,6,0,7035,1
508.2669933,1,15,36,114,296,784,49,11,32660,1
508.2108515,4,14,93,343,635,1401,73,13,89333,1
508.1358835,0,23,12,54,180,303,24,3,17515,1
508.081611,4,55,106,602,813,2222,405,34,150960,1
508.01018210000007,24,147,1368,2642,4083,18013,1572,257,823015,1
506.4229249,3,5,20,177,339,1060,62,14,40480,1
505.9750826,0,19,30,150,550,786,51,0,39330,1
504.61110139999994,13,26,68,299,884,2146,115,22,80458,1
504.45602829999996,0,9,5,166,254,678,78,15,35682,1
504.3626086,12,118,241,614,3762,4802,231,16,195296,1
503.66083150000003,6,56,126,449,1094,3091,313,29,126474,1
503.6395081,2,8,32,223,409,1118,78,18,52617,1
501.7485176,2,18,15,196,359,1044,40,3,46039,1
501.7002063,8,22,199,581,1962,4931,518,43,161451,1
501.1989465,2,33,25,195,436,903,102,8,50878,1
501.1476664,0,4,5,122,153,378,42,2,26140,1
501.0137816000001,4,28,28,280,729,1600,184,6,68062,1
497.9068882,0,10,13,134,216,494,35,2,31532,1
497.53905410000004,1,12,13,160,166,510,32,7,37384,1
497.5365871,3,6,17,179,296,809,52,4,41203,1
497.48817249999996,0,10,5,87,124,290,21,1,20503,1
497.1797905,9,70,168,623,1558,5538,295,20,174987,1
496.87716860000006,7,5,33,134,761,803,47,26,36025,1
496.55172410000006,0,1,2,51,87,140,20,0,10875,1
495.4867619,6,22,36,166,552,1075,76,2,46419,1
495.27652939999996,0,15,3,90,191,359,29,5,21806,1
495.0770429,2,5,2,80,96,169,38,2,17977,1
492.8949714,4,15,18,338,822,931,204,9,76284,1
492.58681229999996,7,72,145,382,1241,3834,395,19,123024,1
492.1965048,1,5,18,134,370,960,20,4,32101,1
490.73064339999996,0,3,0,15,7,54,6,0,3668,1
490.5731077,17,31,424,523,2712,7767,846,28,202824,1
490.43177230000003,0,3,2,46,51,301,13,1,10399,1
488.80885,0,1,3,53,97,162,25,1,11661,1
488.4356659,8,75,209,1166,2801,5962,367,7,298504,1
488.3795741,10,70,167,922,1090,4480,327,31,239363,1
488.1703955,19,46,244,564,1585,5706,662,68,178831,1
486.94698420000003,5,143,55,312,716,3149,258,21,105761,1
485.41281349999997,13,162,237,958,1971,4891,428,112,282234,1
484.28755920000003,0,9,0,36,88,202,10,7,9292,1
484.1713222,0,12,6,112,179,339,26,2,26850,1
483.3822237,41,196,824,1536,3684,14152,2893,73,537256,1
482.3917828,2,15,34,212,636,1342,112,3,54520,1
481.7351959,30,42,1213,1151,3093,6599,1392,19,505672,1
481.7081109,0,2,6,103,269,609,35,4,23043,1
481.2639676,11,43,181,228,1220,3419,215,14,96205,1
481.20165499999996,0,8,8,91,129,423,25,2,22236,1
480.54919910000007,0,1,2,18,77,42,12,0,4370,1
480.14135360000006,1,11,12,101,282,586,50,6,26034,1
480.0253898,0,16,12,93,172,399,34,1,25207,1
480.02133430000004,0,3,4,101,111,187,21,0,22499,1
479.0504791,1,3,3,60,85,133,23,2,13986,1
479.01067699999993,21,166,162,1267,1989,5080,242,16,337362,1
478.65754339999995,74,381,1883,4230,10230,31147,2641,157,1372171,1
478.147697,56,345,1481,2883,8284,11683,3599,310,996554,1
477.46154400000006,24,287,1170,2177,5621,27569,4482,293,766135,1
476.5056254,4,14,31,239,710,1527,125,6,60440,1
476.22139969999995,2,14,21,183,362,1219,84,10,46197,1
